epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,934.765,1.16458,0.11123,0.02717,0.89686,1.19292,0.88519,0.83971,0.8897,0.59141,0.47663,0.45591,0.48447,0.46164,1.15707,0.16825,0.01008,0.7284,1.0761,0.000322542,0.000322542,0.000322542
88,945.688,1.15534,0.10605,0.02836,0.87243,1.18745,0.90506,0.83405,0.90029,0.58982,0.47429,0.45002,0.48138,0.46034,1.16513,0.17383,0.00989,0.72762,1.08182,0.000305933,0.000305933,0.000305933
89,956.748,1.16719,0.1153,0.02695,0.86558,1.1892,0.87467,0.84964,0.90103,0.60435,0.46855,0.45418,0.48509,0.46188,1.15451,0.16823,0.01044,0.72206,1.07893,0.000289692,0.000289692,0.000289692
90,967.932,1.14743,0.10031,0.02513,0.89119,1.18913,0.89632,0.82527,0.89618,0.60503,0.47787,0.43883,0.47663,0.45787,1.13988,0.17236,0.00965,0.70102,1.08084,0.000273829,0.000273829,0.000273829
91,978.847,1.13926,0.11114,0.0271,0.87235,1.17182,0.88239,0.84314,0.9009,0.60263,0.47446,0.45307,0.48224,0.45933,1.14971,0.16848,0.0107,0.72128,1.07502,0.000258355,0.000258355,0.000258355
92,989.786,1.14452,0.11237,0.02597,0.88415,1.18037,0.91196,0.81093,0.89925,0.60506,0.46869,0.44715,0.48128,0.45569,1.13301,0.17962,0.0099,0.71508,1.07638,0.000243281,0.000243281,0.000243281
93,1000.87,1.14286,0.10894,0.02585,0.86747,1.17788,0.90656,0.81882,0.90405,0.61203,0.46407,0.44309,0.48169,0.45804,1.13824,0.17355,0.00966,0.70267,1.07086,0.000228618,0.000228618,0.000228618
94,1011.63,1.13729,0.10644,0.02752,0.84477,1.16812,0.88635,0.84314,0.9032,0.61752,0.48016,0.44276,0.48429,0.46265,1.12141,0.17348,0.00901,0.69282,1.06733,0.000214375,0.000214375,0.000214375
95,1022.83,1.12755,0.09481,0.02295,0.84192,1.16634,0.88571,0.83071,0.90026,0.61975,0.47218,0.44843,0.48365,0.46178,1.11026,0.16816,0.00907,0.70246,1.0612,0.000200561,0.000200561,0.000200561
96,1033.96,1.15193,0.10807,0.02628,0.89544,1.18948,0.88086,0.83397,0.89753,0.6086,0.46057,0.45935,0.48249,0.45958,1.11159,0.16797,0.00927,0.69786,1.06696,0.000187188,0.000187188,0.000187188
97,1044.51,1.13673,0.1105,0.02714,0.87023,1.1743,0.91281,0.8385,0.90958,0.6148,0.47137,0.45325,0.48334,0.46092,1.12479,0.17242,0.00889,0.68756,1.07163,0.000174262,0.000174262,0.000174262
98,1054.94,1.12354,0.10773,0.02655,0.84199,1.16679,0.88504,0.83884,0.90267,0.61925,0.46415,0.4474,0.48227,0.45934,1.12047,0.17417,0.00842,0.68593,1.07552,0.000161795,0.000161795,0.000161795
99,1065.39,1.11463,0.10106,0.02444,0.84591,1.16146,0.88163,0.84128,0.90256,0.61766,0.47083,0.45122,0.48337,0.46038,1.11151,0.17276,0.00868,0.68769,1.06681,0.000149793,0.000149793,0.000149793
100,1075.81,1.10735,0.09562,0.02262,0.83807,1.15639,0.8826,0.84935,0.90366,0.62155,0.46638,0.45732,0.48388,0.46122,1.1145,0.17089,0.00897,0.68693,1.06598,0.000138266,0.000138266,0.000138266
101,1086.26,1.12287,0.10566,0.02257,0.84562,1.16568,0.91521,0.81984,0.90109,0.6198,0.46867,0.45602,0.48231,0.45909,1.10763,0.1718,0.00855,0.68003,1.06573,0.000127221,0.000127221,0.000127221
102,1096.66,1.09827,0.0991,0.02518,0.83602,1.15801,0.89036,0.83802,0.90408,0.61793,0.4669,0.45122,0.48311,0.4603,1.11301,0.17071,0.00869,0.68204,1.06581,0.000116666,0.000116666,0.000116666
103,1107.18,1.11949,0.10709,0.02656,0.85061,1.15896,0.90279,0.84052,0.90262,0.61508,0.47076,0.4581,0.48414,0.46146,1.12344,0.16925,0.00916,0.67684,1.06906,0.000106608,0.000106608,0.000106608
104,1117.62,1.10612,0.10022,0.02503,0.82847,1.16078,0.89929,0.83471,0.90357,0.61944,0.46709,0.46159,0.48328,0.46081,1.10597,0.16848,0.00904,0.67874,1.06776,9.70532e-05,9.70532e-05,9.70532e-05
105,1128.16,1.11522,0.10256,0.02405,0.84462,1.16179,0.91046,0.82681,0.90758,0.62398,0.45902,0.45533,0.48041,0.45971,1.10606,0.16707,0.00843,0.67136,1.06817,8.80093e-05,8.80093e-05,8.80093e-05
106,1138.63,1.10906,0.10638,0.02609,0.83202,1.16674,0.93746,0.81217,0.90509,0.62735,0.458,0.45935,0.48265,0.46073,1.10426,0.16827,0.00857,0.67649,1.06663,7.94819e-05,7.94819e-05,7.94819e-05
107,1149.06,1.10522,0.10613,0.02655,0.82999,1.15665,0.91294,0.82114,0.90452,0.6263,0.46152,0.45122,0.48239,0.4605,1.09869,0.16576,0.0088,0.67018,1.06727,7.14771e-05,7.14771e-05,7.14771e-05
108,1159.66,1.11287,0.11153,0.02577,0.82553,1.15758,0.89625,0.83597,0.90412,0.62417,0.46862,0.45522,0.48345,0.4611,1.09585,0.16695,0.00869,0.666,1.0611,6.40002e-05,6.40002e-05,6.40002e-05
109,1170.02,1.11045,0.10581,0.0247,0.82718,1.17012,0.8903,0.84493,0.90515,0.62544,0.47441,0.45224,0.48422,0.46214,1.10224,0.16751,0.00858,0.67057,1.06331,5.70564e-05,5.70564e-05,5.70564e-05
110,1180.49,1.09076,0.09638,0.02214,0.83001,1.16135,0.91008,0.82535,0.9039,0.62425,0.47009,0.44716,0.48262,0.46169,1.09355,0.16619,0.00891,0.6696,1.05807,5.06505e-05,5.06505e-05,5.06505e-05
111,1201.63,1.05448,0.09336,0.00706,0.70928,1.10748,0.90599,0.81254,0.88975,0.6011,0.46753,0.43902,0.47998,0.45427,1.14017,0.18386,0.00888,0.71215,1.08217,4.47868e-05,4.47868e-05,4.47868e-05
112,1212.14,1.03191,0.08039,0.00524,0.6691,1.13781,0.90666,0.80672,0.88882,0.60172,0.46412,0.44696,0.48006,0.45399,1.13127,0.18491,0.00864,0.71061,1.07599,3.94694e-05,3.94694e-05,3.94694e-05
113,1222.63,1.01863,0.09981,0.00916,0.66453,1.08484,0.89808,0.81431,0.8901,0.60351,0.47398,0.4443,0.48016,0.45534,1.12865,0.18196,0.00842,0.70594,1.07479,3.47018e-05,3.47018e-05,3.47018e-05
114,1232.98,1.00585,0.08528,0.00493,0.64488,1.09543,0.92121,0.79941,0.89129,0.60644,0.46575,0.4422,0.4792,0.45578,1.12064,0.18233,0.00859,0.69681,1.06904,3.04875e-05,3.04875e-05,3.04875e-05
115,1243.52,1.02648,0.0825,0.00615,0.63265,1.09881,0.92484,0.80473,0.89651,0.61053,0.46555,0.43953,0.48012,0.45587,1.12298,0.18056,0.0085,0.69363,1.07123,2.68292e-05,2.68292e-05,2.68292e-05
