epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,4761.33,0.45569,0.00295,0.0025,0.27723,0.85413,0.96987,0.97646,0.99238,0.92225,0.02851,0.02776,0.00072,0.00072,0.36716,0.00215,0.00024,0.21597,0.78822,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,4820.03,0.44697,0.00324,0.00219,0.2742,0.8508,0.96951,0.97561,0.99234,0.9223,0.02851,0.02776,0.00072,0.00072,0.36714,0.00214,0.00026,0.21487,0.78814,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,4874.01,0.44692,0.0029,0.00266,0.27232,0.85157,0.97014,0.97498,0.99236,0.9222,0.02847,0.02776,0.00072,0.00072,0.36586,0.0021,0.00026,0.21478,0.7879,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,4930.49,0.44322,0.00302,0.0024,0.27112,0.85019,0.9721,0.97314,0.99237,0.92307,0.02845,0.02776,0.00072,0.00072,0.36547,0.00209,0.00025,0.21336,0.78773,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,4986.06,0.43974,0.00316,0.00224,0.26976,0.8482,0.97288,0.97326,0.9924,0.92326,0.02847,0.02776,0.00072,0.00072,0.36456,0.00208,0.00023,0.21308,0.78753,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,5041.46,0.44038,0.00302,0.00249,0.27052,0.84974,0.97359,0.97306,0.99238,0.92249,0.02847,0.02776,0.00072,0.00072,0.36439,0.00209,0.00023,0.21265,0.78736,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,5096.92,0.44055,0.00252,0.00225,0.26815,0.84992,0.97278,0.97396,0.99242,0.92246,0.0285,0.02776,0.00072,0.00072,0.36448,0.00209,0.00022,0.21267,0.78749,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,5152.47,0.43632,0.00269,0.00232,0.26642,0.84739,0.97363,0.97378,0.99243,0.92332,0.02852,0.02776,0.00072,0.00072,0.3649,0.00208,0.00022,0.21211,0.78742,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,5211.04,0.44137,0.00268,0.00223,0.26898,0.84928,0.9727,0.97429,0.99244,0.92358,0.02855,0.02776,0.00072,0.00072,0.36372,0.00209,0.00022,0.21189,0.78741,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,5267.81,0.43318,0.00265,0.00264,0.26502,0.8502,0.97263,0.97434,0.99242,0.92289,0.02858,0.02776,0.00072,0.00072,0.36296,0.00209,0.00021,0.21156,0.78732,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,5326.98,0.43372,0.00294,0.00241,0.26592,0.84793,0.97296,0.97378,0.9924,0.92436,0.02852,0.02768,0.00072,0.00072,0.36289,0.00208,0.00021,0.21093,0.78762,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
