epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,6178.49,0.40952,0,3e-05,0.25113,0.84285,0.97365,0.96773,0.99236,0.92727,0,0,0,0,0.331,0,0,0.19333,0.77968,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,6229.68,0.40463,0,0,0.24796,0.8419,0.97622,0.96632,0.99233,0.92721,0,0,0,0,0.3309,0,0,0.19344,0.77963,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,6281.46,0.4032,0,0,0.24753,0.84064,0.97125,0.97002,0.99232,0.92734,0,0,0,0,0.33091,0,0,0.19298,0.77972,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,6333.12,0.40222,0,0,0.24785,0.83944,0.97107,0.97055,0.99235,0.92735,0,0,0,0,0.33102,0,0,0.19248,0.77978,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,6387.92,0.39957,0,0,0.24657,0.84049,0.97091,0.9709,0.99235,0.9274,0,0,0,0,0.33118,0,1e-05,0.19258,0.77978,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,6442.81,0.39807,0,0,0.24616,0.84212,0.97174,0.97016,0.99231,0.92743,0,0,0,0,0.33119,0,2e-05,0.19275,0.77972,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,6495.73,0.39625,0,0,0.24371,0.83987,0.96991,0.97183,0.9923,0.92744,0,0,0,0,0.33103,0,3e-05,0.19262,0.77968,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,6546.72,0.39617,0,5e-05,0.24341,0.8402,0.97174,0.97019,0.99229,0.92764,0,0,0,0,0.33103,0,4e-05,0.19247,0.77965,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,6599.14,0.39663,0,0,0.24281,0.83911,0.97225,0.97,0.99231,0.92829,0,0,0,0,0.3303,0,3e-05,0.1924,0.77957,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,6648.86,0.39457,0,0,0.24297,0.83977,0.97246,0.9702,0.9924,0.92889,0,0,0,0,0.32994,0,4e-05,0.19235,0.77956,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,6702.92,0.39499,0,0,0.24202,0.84009,0.96792,0.97531,0.99242,0.92943,0,0,0,0,0.32973,0,1e-05,0.19246,0.77952,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,6753.97,0.39206,0,0,0.24053,0.83993,0.96921,0.9739,0.9924,0.92828,0,0,0,0,0.32926,0,1e-05,0.19222,0.77948,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
