epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,2800.18,0.64832,0.05648,0.11485,0.44374,0.93869,0.9544,0.92712,0.97898,0.88484,0.00607,0.00699,0.00088,0.00083,0.49459,0.01854,0.00643,0.35783,0.85626,0.00743468,0.00743468,0.00743468
53,2856.49,0.64184,0.05194,0.11705,0.44253,0.93658,0.95859,0.9221,0.97795,0.88218,0.00619,0.00784,0.00087,0.00082,0.49738,0.01651,0.01182,0.35858,0.85841,0.00734332,0.00734332,0.00734332
54,2912.33,0.64362,0.05244,0.1124,0.43899,0.93789,0.96215,0.92309,0.97765,0.88413,0.00628,0.00763,0.00091,0.00089,0.49726,0.01371,0.00842,0.35631,0.85727,0.00725094,0.00725094,0.00725094
55,2968.32,0.63866,0.05083,0.11112,0.43617,0.93504,0.95981,0.92754,0.97901,0.88277,0.00648,0.00763,0.00091,0.00089,0.50173,0.01055,0.0065,0.35537,0.85467,0.00715761,0.00715761,0.00715761
56,3024.29,0.6406,0.04949,0.1022,0.44161,0.93622,0.95469,0.92966,0.97892,0.88221,0.00667,0.00763,0.00093,0.00091,0.49871,0.01375,0.00724,0.35664,0.85344,0.00706335,0.00706335,0.00706335
57,3083.68,0.63325,0.04953,0.10916,0.4323,0.93373,0.95216,0.93136,0.97878,0.88672,0.00667,0.00763,0.00095,0.00092,0.48733,0.01997,0.00646,0.34961,0.85088,0.0069682,0.0069682,0.0069682
58,3148.11,0.63303,0.05149,0.07763,0.43533,0.9349,0.95562,0.92607,0.97745,0.88585,0.00683,0.00805,0.00094,0.0009,0.48604,0.0149,0.00707,0.35071,0.85196,0.00687222,0.00687222,0.00687222
59,3211.49,0.63198,0.04872,0.0988,0.43176,0.93375,0.95528,0.92778,0.97923,0.88507,0.0069,0.00763,0.00094,0.0009,0.49059,0.01249,0.00688,0.34911,0.85025,0.00677543,0.00677543,0.00677543
60,3264.61,0.62915,0.04704,0.10372,0.43059,0.93215,0.96032,0.92479,0.97907,0.88752,0.00689,0.00784,0.00093,0.00089,0.47998,0.01305,0.0042,0.34713,0.8485,0.00667789,0.00667789,0.00667789
61,3316.24,0.62761,0.04725,0.10184,0.43057,0.93235,0.95774,0.92648,0.97795,0.88595,0.00642,0.00763,0.00092,0.00085,0.48258,0.01896,0.00607,0.34484,0.84917,0.00657963,0.00657963,0.00657963
62,3367.89,0.62708,0.04587,0.09356,0.42743,0.93061,0.95918,0.9259,0.97813,0.8831,0.00666,0.00763,0.00093,0.00087,0.4914,0.01798,0.00792,0.34683,0.84999,0.00648071,0.00648071,0.00648071
63,3419.25,0.62132,0.04563,0.08931,0.42268,0.92897,0.95758,0.92786,0.97856,0.88653,0.00669,0.00742,0.00096,0.00092,0.48832,0.01551,0.00772,0.3437,0.85113,0.00638115,0.00638115,0.00638115
64,3471.05,0.62131,0.04659,0.10048,0.42077,0.92853,0.95669,0.93157,0.97939,0.88707,0.00634,0.00742,0.00097,0.00094,0.48754,0.01517,0.00672,0.34254,0.85092,0.00628101,0.00628101,0.00628101
65,3523.62,0.61674,0.04798,0.10521,0.4248,0.9302,0.95218,0.93581,0.97892,0.88803,0.00657,0.00763,0.00094,0.00091,0.48533,0.01448,0.00633,0.34327,0.85011,0.00618034,0.00618034,0.00618034
